id,name,artist,artist_id,album,popularity,duration_ms,explicit,release_date
4Ksiced2DrLqCRfK2gGUHq,Ly tinh nhu',Truong Thi Quynh Hanh,4HV0yoclphwNw68w6kLQ3X,Vietnam: Popular Vietnamese Music,18,211693,0,2000
6WYyPo6Eyn5E1bwys7wOsn,Việt Nam Ơi,Minh Beta,6IIp7wMLdLoAWCpBjHaWid,Việt Nam Ơi,44,248833,0,2024-08-30
1KJdntlp3OVTpyF0H5ARO6,Vietnamese Forest,Asian Traditional Music,3c8YvfkS0P01LGTynw582C,"Traditional Asian Music: Chinese, Japanese, Tibetan, Korean, Oriental Shamisen and Shakuhachi",18,70819,0,2010-06-30
0c34KfixQDZYCAttnZ8LpJ,Hào Khí Việt Nam,Phan Đinh Tùng,3rbFpJkaR60h3KtE4YSZWd,Quá Khứ Nhạt Nhoà,46,273746,0,2015-01-20
3n8kOUz0D5EQpe8JXeZdt6,Vietnamese,lehophuocdat,2Y9gVu6YtWypZXjynm7O2i,Vietnamese,4,198413,0,2024-02-02
2mKV3UF8nbIKVfni0ZlAAz,Việt Nam Sẽ Chiến Thắng,BRANDBEATS,4OAuZjHIYMfw91tIHTw8ia,"Nguyễn Hải Phong Official Music, Vol. 1",44,239000,0,2023-01-04
1gyY4WlJGvbZvUVsALyJVe,Binh ban va'n,Truong Thi Quynh Hanh,4HV0yoclphwNw68w6kLQ3X,Vietnam: Popular Vietnamese Music,16,190133,0,2000
7dLEii0Au46WQyy2TwjRC1,Xin Chào Việt Nam,Ái Phương,5k5vCzAmH0dcRda22U9Hut,Gala Nhạc Việt 1 - Nhạc Hội Tết Việt,39,261728,0,2013-01-12
0Ky8OfkFVxmptG9CqN9PUw,Khuc tuy hu'ng ru con,Truong Thi Quynh Hanh,4HV0yoclphwNw68w6kLQ3X,Vietnam: Popular Vietnamese Music,10,524853,0,2000
4pCFuJ23b1bd9Xn93c9YAc,VIETNAM - My Home,Masew,3nGqUwkJHiLPDECMVrX1Sq,VIETNAM - My Home,35,222545,0,2023-07-06
6HCULLWMDmFwTgbACZHPUU,Thành phố chết,YEAH1 MUSIC,6CoCGXyUnocaqoKdRzDl8r,"Những Bản Nhạc Vui Vẻ, Chill Cho Ngày Mới | Relaxing And Chill Music… | Vietnamese music",3,242175,0,2023-02-11
0tRpWjAPI6SCNcOMQGw4z5,"Việt Nam Muôn Đời (feat. Thai VG, Liu Grace & Mikelodic)",RAP VIỆT,1cPpd989kghzlZqfpP4KwL,Rap Việt Mùa 3 (2023) - Tập 16,40,243902,0,2023-09-10
7LuewEU1SlMJ8Bi9rRrUd2,Di Cay,Phạm Đức Thành,4mh6FZsF9gO7mRUOfTTMIU,Vietnamese Traditional Music,13,161506,0,1999
1ggbqJAGPfhCXkAXPKTokY,Cà Phê,MIN,0IdAjS2LRieBR3gzoazdAw,50/50,56,190526,0,2022-03-21
5AvLfQNzlC5oO1SMbkh9Nz,Kí Ức Vpop 1,Tăng Phúc,5TSjLaWHQ69GaALubAM7gR,Tuyển Tập Của Tăng Phúc,19,738384,0,2020-01-01
12vubUp6kRBvlHPc2BeW2A,Kí Ức Vpop 2,Tăng Phúc,5TSjLaWHQ69GaALubAM7gR,Tuyển Tập Của Tăng Phúc,17,540792,0,2020-01-01
7Ey5rS9ljTUnIowo8zpEef,Kí Ức Vpop 3,Tăng Phúc,5TSjLaWHQ69GaALubAM7gR,Tuyển Tập Của Tăng Phúc,15,402720,0,2020-01-01
53EsIswMZafF2uHfWmbhqq,Kí Ức Vpop 6,Tăng Phúc,5TSjLaWHQ69GaALubAM7gR,Tuyển Tập Của Tăng Phúc,13,840151,0,2020-01-01
37rngL7xMwenDC2pu9nfLc,Kí Ức Vpop 4,Tăng Phúc,5TSjLaWHQ69GaALubAM7gR,Tuyển Tập Của Tăng Phúc,6,597878,0,2020-01-01
3sgXAxFTpNHtQVkiTZGZJh,Kí Ức Vpop 5,Tăng Phúc,5TSjLaWHQ69GaALubAM7gR,Tuyển Tập Của Tăng Phúc,6,481560,0,2020-01-01
4hGVu0XcoGqkaGG4PQzQOM,Mashup#1 Hit Vpop,Minh Châu,25MjEeusf39IrbYZ6iXERh,Mashup#1 Hit Vpop,4,249086,0,2020-01-01
3NLBg4QDdvDWtSyqqLt7Kv,Nhớ Nhà,Vpop,2xkx7f7IFOKPz9UNIhWmmZ,Quên Đi Anh,2,359262,0,2006-09-18
2v62Kw1qqVocQAUtMroEdh,Elton John's Melody,Vpop,2xkx7f7IFOKPz9UNIhWmmZ,Đêm Hội Ngộ,0,384640,0,2007-11-13
1qtPrTnx0wzOOQ5laV2kdt,Giấc Mơ,Nguyên Khang,65soYJxad6WyusokHWu4aI,Phút Ban Đầu,1,317133,0,2005-01-20
2y3alfsiDY7O4TZIP32wte,Ngày Xưa Yêu Dấu,Vpop,2xkx7f7IFOKPz9UNIhWmmZ,Tình Mãi Bên Nhau,0,464466,0,2007-07-30
7zng0VKIypgZzgZzJLT9NN,Áo Xanh,Vpop,2xkx7f7IFOKPz9UNIhWmmZ,Mẹ Và Quê Hương,0,353047,0,2008-05-18
46efuVoDjsYjIKpWx6kHSN,Away,VOH,0OmA11d6wVcqYWweVxXlJV,V·POP,0,207189,0,2023-12-01
33aXKYtfnDVtlvLiHu9QsY,vpopium,VARBUZ,57M6CPxKA3PupILf8rAZZe,SHUT,6,149538,1,2024-02-25
2QsC4LxQaI7DNAonzHlP8Z,Tới Giờ Tắm Rồi (Bathtime Song),Mommy & Me Vietnamese,1F3JbS6eCH5fvK1csRsSTp,Vietnamese Songs For Kids Collection 1,20,137557,0,2024-09-30
0dxchwNGEL3q2yRcAbxggZ,10 Ngón Tay,Mommy & Me Vietnamese,1F3JbS6eCH5fvK1csRsSTp,Vietnamese Songs For Kids Collection 2,22,110080,0,2025-02-28
6aeU5IH8DB1qHK5jRFTNUv,Hương (feat. Negav),Văn Mai Hương,63SNH9m8M034lCGELVC1dm,hương,53,210285,0,2021-01-23
5XFgteRpTM1ElaRMwgCDV4,LK Nhạc Thiếu Nhi Thế Hệ Trẻ,Mommy & Me Vietnamese,1F3JbS6eCH5fvK1csRsSTp,Vietnamese Songs For Kids Collection 2,17,289359,0,2025-02-28
69RUelUjlqvdzn0Hn9QBch,Bà Ơi Bà,Mommy & Me Vietnamese,1F3JbS6eCH5fvK1csRsSTp,Vietnamese Songs For Kids Collection 1,21,141097,0,2024-09-30
7xs2DynKEeIMF7OztdEdgE,Vì Sao Mèo Con Rửa Mặt,Mommy & Me Vietnamese,1F3JbS6eCH5fvK1csRsSTp,Vietnamese Songs For Kids Collection 1,20,178005,0,2024-09-30
0FEbIRTcBeIvqSdEJN8K3F,Tập Thể Dục Buổi Sáng,Mommy & Me Vietnamese,1F3JbS6eCH5fvK1csRsSTp,Vietnamese Songs For Kids Collection 2,20,126040,0,2025-02-28
7jN1MMc0U82IID5uY8vLTl,Giờ Ăn Đến Rồi,Mommy & Me Vietnamese,1F3JbS6eCH5fvK1csRsSTp,Vietnamese Songs For Kids Collection 1,16,105813,0,2024-09-30
4bOwnJwm4Zy1vjnndHFLHj,Vũ Trụ Có Anh (feat. Pháo),Phương Mỹ Chi,1BcjfrXV4Oe3fK0c8dnxFF,Vũ Trụ Cò Bay,50,220957,0,2023-09-18
1LPS0MAHQHBA48xumfUZTT,Con Cào Cào,Mommy & Me Vietnamese,1F3JbS6eCH5fvK1csRsSTp,Vietnamese Songs For Kids Collection 2,20,141032,0,2025-02-28
6gww8oSCc77SVs6DSyymrF,Top Hits,Top Hits 2023,7qgJkqICsYsUtU8a5SwG9b,Todays Top Hits Instrumental Playlist,8,105599,0,2023-11-14
7tCXlLIZzHmfuZphTVUMpC,Cuối Chiều,Haisam,5h0cBKxBX54CqPaQU6tJhk,Top Hits Of Haisam,33,228949,0,2019-10-19
3OVMe3H6iAxbLF8iD2UYrw,Chúng Ta Của Tương Lai,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,Chúng Ta Của Tương Lai,64,249871,0,2024-03-08
1mQwAEwfvDjYCT99eZsIuN,Top Hits,2022 Hit Songs Music Mix,6hhgyoKVX6lJl3hdeivtU4,New Hit Songs Of 2023,12,111219,0,2023-01-17
53RnuukPDAfbUh4bYkC0cz,Em Có Đợi Tin Nhắn Tôi Không,Haisam,5h0cBKxBX54CqPaQU6tJhk,Top Hits Of Haisam,29,268420,0,2019-10-19
5oFEvbM7lGnx8jfAkuhVyo,MỘNG YU,AMEE,2aQnC3DbZB9GbauvhAw7ve,MỘNG YU,64,202629,0,2024-08-02
2dqjk8AmosqLig5qsZB9k3,Top Hits,Todays Top Hits,6MGnOdzzXNoGcUgfxMcSwA,Todays Top Hits 2022,25,57142,0,2022-09-30
3YG1i1a0U6SyGnWHhs3SO2,Lạnh Thôi Đừng Mưa,Haisam,5h0cBKxBX54CqPaQU6tJhk,Top Hits Of Haisam,29,257699,0,2019-10-19
5OMi2ab8lqbEdoB4dgYAha,Top Hits,Top Hits 2023,7qgJkqICsYsUtU8a5SwG9b,Best Upbeat Top Hits,1,116890,0,2023-11-22
5pNoyj4WAgBRCEemRUSomh,Bây Giờ Anh Có Thể Nghe Giọng Của Em,Haisam,5h0cBKxBX54CqPaQU6tJhk,Top Hits Of Haisam,23,158078,0,2019-10-19
0FbwlQQB9cU37TAuLP0WvB,Top Hits,Popular Songs,11Iwq2edF5N9PMi2BspjhT,Best Top Tracks 2022 Playlist,12,95294,0,2022-10-17
1HPuxz9eF5Cngu8GMMiQ8d,LK Người Thứ Ba - Sao Anh Ra Đi,Minh Tuyết,2wjsoWglhKBQVfjUGdth1y,Top Hits 2002-2020 (Music Box 13),27,230280,0,2020-01-01
5IZDnmnMBzLnE6APoYL26d,bình yên,Vũ.,57g2v7gJZepcwsuwssIfZs,bình yên,62,201655,0,2024-08-29
2iS7VmY23DQRfO4jCGJ7E1,Sara - Rerecorded,Starship,0kObWap02DEg9EAJ3PBxzf,Sara (Billboard Hot 100 - No 1),54,285942,0,2010
4vsJWPwWPS27gRM4oLjBNO,DONT WANT IT,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,MONTERO,56,130925,1,2021-09-17
1vP6D6zYJpi46oJBoeJcwT,Brother Louie - Rerecorded,The Stories,01gp5ElAZTH3BNkFII1qPM,Brother Louie (Billboard Hot 100 - No 1),22,235942,0,2020-10-09
1gA9I2ObHhZhd83BHiPGFL,Sunny <3,Pacing,7mJOp9EcXEdAH6TL36flXw,hatemail,20,166440,0,2022-05-13
4jWmhzf53Q0ZvZMuGdiR9x,shhhhhhh..,WEAN,30eFAXoU2kTjJPf2cq80B8,shhhhhhh..,64,230675,0,2023-10-07
7Kpv6QtVDSNBJYTgwUTOAu,I’ve Never Been To Me - Rerecorded,Charlene,6V3LuodmG70Gbx6FvEWPo8,I’ve Never Been To Me (Billboard Hot 100 - No 03),19,257706,0,2018-12-20
