artist_id,genres,artist_popularity,artist_followers
0V2DfUrZvBuUReS1LFo5ZI,vietnam indie|v-pop|vietnamese lo-fi|vietnamese hip hop,58,896264
5VgQ8fqAe1K3C7UQNAHCKt,,18,2312
1oGhuPxh5IUrixh5a6XkKe,indie folk,13,683
27RoKwun6jKycKbH2iYUFU,vietnam indie|v-pop,57,29611
3lBb4DsNd7uLyDrKk0XGbL,indie folk,9,770
11BozuxBoGgG4NtpvwJP15,indie folk,8,433
57g2v7gJZepcwsuwssIfZs,v-pop|vietnam indie|vietnamese lo-fi,63,2486906
4ZkICEILCKffUUFX9J88CY,indie folk,28,3712
0Z1UskNOrRKYtaywcvdCYq,indie folk,31,2671
15vQbVx84dPqYBWX2XK8kw,indie folk,35,2790
68O2Dspw1EadQRzJiOoUC4,indie folk,6,734
3gmhn3vGKwE48jxT1w7bHh,vietnam indie|v-pop,39,11434
4XudVJyOISrXMkNvNFlysV,christian folk|indie folk,32,7447
5KjGwF0TkKmKSC42Mtq2VV,indie folk,39,6877
0TPskc1UooN3VHhPqZtDov,indie folk,7,1062
2j3AXmye1FJXoGOXr6tufj,vietnam indie|v-pop|vietnamese hip hop,46,218231
2QnZE9opYZPbFtfIuX3Djz,,25,1818
0ac87lEVMlYRektAzRTZRp,indie folk,20,1153
2gPsg80rQMmL5dKBC0yg2V,indie folk,25,1250
0j3JsMUkjmRIqTi1xQ5dp0,,32,25130
0s9oqVCJ2iXTqSUR5fcky5,vietnam indie|v-pop,42,29086
2F7PtF4lRVIufJd6Sjud71,,48,164703
4NJhFmfw43RLBLjQvxDuRS,classical|requiem|opera|classical piano|chamber music,77,5781041
2VIZDPesAdDk0zppWuy70U,anime,51,21637
5MQG067ASfGn0Cf1nE0S8g,phonk|brazilian phonk,60,136182
5zCkKfOMcIx8ISU53JBPng,,47,23175
3MKCzCnpzw3TjUYs2v7vDA,classical,70,1489467
2uFAb0ANFkjlalOG5kQH60,dubstep,35,12488
2wOqMjp9TyABvtHdOSOTUS,classical|classical piano|chamber music,73,5608620
0mKgCBdahKi7AykSlNcmHP,,0,12
459INk8vcC0ebEef82WjIK,classical piano|classical,67,912553
7y97mc3bZRFXzT2szRM4L4,classical piano|classical,75,3498682
1ZNA8vzdCn3mKSUSPkCkRJ,,41,5140
4OihBPCQzR4GfbzqOY69Xm,,54,121574
5aIqB5nVVvmFsvSdExz408,classical|classical piano,78,4700601
5WIoytpqi3VWoFSHnl49in,classical,55,86670
39FC9x5PaTNYHp5hwlaY4q,classical,55,494122
5BvJzeQpmsdsFp4HGUYUEx,indie|baroque pop,66,2029055
5EfRmAMpdmiA8NDoBxGYci,classical piano|classical,35,2479
1tkiFVYWlbBbK6XfX8RGg6,breakbeat|miami bass|uk garage,6,325
5PkDpzWMZR7Id1vldhF8Qk,brazilian jazz|bossa nova|exotica,51,58699
3252lQrYqRgAFw2xXuNdVZ,,60,11187
76VQKr4J9HvYVAPNw7IYT9,,16,18
1Uff91EOsvd99rtAupatMP,classical|classical piano,70,1619324
0A4IedzBw9tbZP4yVNDmgY,,15,285
1JOQXgYdQV2yfrhewqx96o,opera|classical,63,707734
3k3RY7kR8f0vp8Cq27P141,jazz house|jazz,67,770587
6s1pCNXcbdtQJlsnM1hRIA,classical|chamber music,63,509837
1Mxqyy3pSjf8kZZL4QVxS0,christmas|big band|adult standards|swing music|vocal jazz|jazz,78,8062634
1XOKresOiQtBmduOEskf4s,french pop|space rock,15,8288
